구분,시설명,관할동,소재지,전화번호
주정차위반,주차-001-01,광장동,광장동 331-6 (모두투어 앞),02-450-7678
주정차위반,주차-033-01,화양동,화양동 4-20 (건대입구 3번출구 앞),02-450-7678
주정차위반,주차-034-01,화양동,화양동 5-3 (건대분수광장 건너편),02-450-7678
주정차위반,주차-035-01,화양동,화양동 5-84 (건대병원 맞은편),02-450-7678
주정차위반,주차-036-01,중곡3동,중곡동 231-1 (신성그랜드타워),02-450-7678
주정차위반,주차-037-01,자양2동,자양2동 662-2 (빨간모자피자앞),02-450-7678
주정차위반,주차-038-01,자양2동,광진구 자양동 672,02-450-7678
주정차위반,주차-039-01,자양2동,자양2동 679-30,02-450-7678
주정차위반,주차-040-01,중곡3동,중곡3동 168-8,02-450-7678
주정차위반,주차-041-01,광장동,광장동 582,02-450-7678
주정차위반,주차-042-01,구의1동,구의동 253-15,02-450-7678
주정차위반,주차-043-01,구의1동,구의동 252-16,02-450-7678
주정차위반,주차-044-01,구의2동,구의2동 17-2,02-450-7678
주정차위반,주차-045-01,자양3동,자양3동 553-376,02-450-7678
주정차위반,주차-046-01,군자동,군자동 361-28,02-450-7678
주정차위반,주차-047-01,자양1동,자양동 627-21,02-450-7678
주정차위반,주차048-01,중곡4동,중곡동 18-27,02-450-7678
주정차위반,주차-049-01,자양2동,자양동 695,02-450-7678
주정차위반,주차-050-01,자양4동,자양4동 547-29,02-450-7678
주정차위반,주차-051-01,자양4동,자양4동 510-1,02-450-7678
주정차위반,주차-052-01,구의1동,구의동 641-2,02-450-7678
주정차위반,주차-053-01,자양4동,자양4동 2-53,02-450-7678
주정차위반,주차-054-01,광장동,광장동 571-1,02-450-7678
주정차위반,주차-055-01,중곡3동,중곡동 198-11,02-450-7678
주정차위반,주차-056-01,자양3동,중곡동 75-42,02-450-7678
주정차위반,주차-057-01,구의2동,구의동 60-44,02-450-7678
주정차위반,주차-058-01,중곡2동,중곡동 138-32,02-450-7678
주정차위반,주차-059-01,자양3동,자양동 553-502,02-450-7678
주정차위반,주차-032-01,화양동,화양동 48-10 (건대입구 1번출구 앞),02-450-7678
주정차위반,주차-031-01,중곡4동,중곡4동 115-9 (공원약국 앞),02-450-7678
주정차위반,주차-030-01,중곡4동,중곡4동 79-9 (우리은행 앞),02-450-7678
주정차위반,주차-002-01,광장동,광장동 445-3 (광현교회 앞),02-450-7678
주정차위반,주차-003-01,구의2동,구의2동 96,02-450-7678
주정차위반,주차-004-01,군자동,군자동 361-8,02-450-7678
주정차위반,주차-005-01,구의2동,구의2동 66-62 (국민은행 앞),02-450-7678
주정차위반,주차-006-01,구의2동,구의2동 68-23 (구의사거리),02-450-7678
주정차위반,주차-008-01,구의3동,구의3동 546-1 (리젠트오피스텔 건너편),02-450-7678
주정차위반,주차-009-01,구의3동,구의3동 546-11 (지너스타워 주차장 앞),02-450-7678
주정차위반,주차-010-01,구의3동,구의3동 611 (구의현대2단지 213동 대로변),02-450-7678
주정차위반,주차-011-01,구의3동,구의3동 546-6 (강변역 1번출구),02-450-7678
주정차위반,주차-012-01,구의3동,구의3동 546-6 (강변역 4번출구),02-450-7678
주정차위반,주차-013-01,구의3동,구의3동 547-7 (동서울터미널 주차장 앞),02-450-7678
주정차위반,주차-014-01,구의3동,구의3동 631-1 (프라임아파트 정문),02-450-7678
주정차위반,주차-015-01,구의3동,구의3동 596-6 (강변스파랜드 앞),02-450-7678
주정차위반,주차-016-01,군자동,군자동 364-15 (노인종합복지관 앞),02-450-7678
주정차위반,주차-017-01,군자동,군자동 477-12 (군자CGV 앞),02-450-7678
주정차위반,주차-018-01,군자동,군자동 466-17 (군자빌딩),02-450-7678
주정차위반,주차-019-01,능동,능동 18-10 (어린이대공원 1번출구),02-450-7678
주정차위반,주차-020-01,능동,능동 247-11 (아씨방 앞),02-450-7678
주정차위반,주차-021-01,능동,능동 315-13 (서울시민 안전체험관 앞),02-450-7678
주정차위반,주차-022-01,능동,능동 436-10 (어린이대공원 주차장 건너편),02-450-7678
주정차위반,주차-023-01,자양2동,자양2동 606-11 (파리바게트 앞),02-450-7678
주정차위반,주차-024-01,자양4동,자양4동 8-24 (건대역약국 앞),02-450-7678
주정차위반,주차-025-01,자양4동,자양4동 239-1 (올포유 앞),02-450-7678
주정차위반,주차-026-01,중곡1동,중곡1동 165-6 (중곡지구대 앞),02-450-7678
주정차위반,주차-027-01,중곡1동,중곡1동 247-6 (MB모터스 옆),02-450-7678
주정차위반,주차-028-01,중곡1동,중곡1동 610-9 (태양주유소 앞),02-450-7678
주정차위반,주차-029-01,중곡2동,중곡2동 161-41 (고신경 정신과의원 앞),02-450-7678
주정차위반,주차-060-01,자양4동,자양동 2-2,02-450-7678
